MonitoringLocationIdentifier,ActivityStartDate,temp_c,ph,turbidity_ntu,dissolved_o2_mg_l,flow_rate_cfs
SYNTHETIC_SITE_0000,2023-01-01,17.483570765056164,8.319484349268802,1.0454809461012622,9.1462556264824,2.926771052056602
SYNTHETIC_SITE_0001,2023-01-02,14.308678494144077,7.939706946330215,0.13657876114710152,4.428267016131778,3.9114924994654294
SYNTHETIC_SITE_0002,2023-01-03,18.23844269050346,7.247704295936139,0.8579399945987614,7.280740655095075,0.8798888428777082
SYNTHETIC_SITE_0003,2023-01-04,22.61514928204013,6.682450577835541,0.23531180975614502,8.602214678383485,0.6735583282971631
SYNTHETIC_SITE_0004,2023-01-05,13.82923312638332,7.758578650890872,3.3029714201509606,8.367669032645008,1.5187149395385942
SYNTHETIC_SITE_0005,2023-01-06,13.829315215254097,7.514788308337399,5.901059970123997,13.386067327960994,4.843120884936497
SYNTHETIC_SITE_0006,2023-01-07,22.896064077536955,7.916154576022186,0.15012926746491154,8.699600049135816,5.326590299737459
SYNTHETIC_SITE_0007,2023-01-08,18.837173645764544,7.708137441345576,6.2073124681373715,5.991890806315979,5.895652454234398
SYNTHETIC_SITE_0008,2023-01-09,12.652628070325239,8.03964217225547,1.4787030987775223,7.809071505821854,1.574872551914277
SYNTHETIC_SITE_0009,2023-01-10,17.712800217929825,6.771811830751545,0.7121093525572041,4.4475073330670964,3.591930290222397
SYNTHETIC_SITE_0010,2023-01-11,12.682911535937688,8.253915252507461,0.15995324947914416,7.838800501406478,2.439383969552433
SYNTHETIC_SITE_0011,2023-01-12,12.671351232148716,7.35807968375392,1.3887929935427872,6.333887885998482,3.023963787642702
SYNTHETIC_SITE_0012,2023-01-13,16.20981135783017,8.860208698100212,3.1647697803952357,9.830780551120323,2.403741851992913
SYNTHETIC_SITE_0013,2023-01-14,5.43359877671101,6.6486497455283455,2.4557557155672995,6.90091945080893,4.07811637242202
SYNTHETIC_SITE_0014,2023-01-15,6.375410837434837,8.5887710425322,0.10306245899209292,7.7664681684095065,1.885206972174027
SYNTHETIC_SITE_0015,2023-01-16,12.188562353795136,7.358328626770119,0.15139164811650496,6.728884317191193,7.3662798850509255
SYNTHETIC_SITE_0016,2023-01-17,9.93584439832788,6.678865597108442,1.0312518624321754,11.477702703706662,7.410934482459357
SYNTHETIC_SITE_0017,2023-01-18,16.571236662976368,6.812891332756543,0.699939218760098,7.357514467764177,4.735595997088689
SYNTHETIC_SITE_0018,2023-01-19,10.459879622393945,6.943722153444544,0.528932183465119,11.665114086958404,6.787968152331104
SYNTHETIC_SITE_0019,2023-01-20,7.938481493323542,7.539332757121533,0.6598003569110232,9.628303524236532,0.8438098446541752
SYNTHETIC_SITE_0020,2023-01-21,22.32824384460777,7.618268390428399,3.254010062313432,8.964133454670772,7.658910379286247
SYNTHETIC_SITE_0021,2023-01-22,13.871118497567322,6.741039996849137,5.296585189086856,8.73746629463504,4.413180772588266
SYNTHETIC_SITE_0022,2023-01-23,15.33764102343962,7.1805163261912135,1.0387329683550672,8.787594596432504,1.9854506032593655
SYNTHETIC_SITE_0023,2023-01-24,7.8762590689327165,8.91381628688949,4.7312841364857805,4.14465484130878,1.816015232785421
SYNTHETIC_SITE_0024,2023-01-25,12.278086377374088,8.58203453608057,0.7757289281144991,7.442233211698487,9.45154721071495
SYNTHETIC_SITE_0025,2023-01-26,15.55461294854933,7.549058935739226,1.2941957719790484,9.690315942368644,5.961721057734736
SYNTHETIC_SITE_0026,2023-01-27,9.245032112888486,7.2304027825345605,0.5124417419455772,7.902205633051789,2.9609827878867874
SYNTHETIC_SITE_0027,2023-01-28,16.87849009172836,7.29602506137461,2.0459489239430892,5.18962030639285,0.8333383642267558
SYNTHETIC_SITE_0028,2023-01-29,11.996806550405974,7.690814378184333,7.7246679359526444,7.895191098845061,7.924523371867688
SYNTHETIC_SITE_0029,2023-01-30,13.541531251033616,6.381765947841275,1.850123651620192,11.408211032510982,1.2139943644810385
SYNTHETIC_SITE_0030,2023-01-31,11.991466938853016,6.994098770061324,0.8857548572133683,10.493783431069438,2.475862399262375
SYNTHETIC_SITE_0031,2023-02-01,24.261390922544688,5.865132740897929,2.0872112369509677,7.875991981267936,2.9577426711240813
SYNTHETIC_SITE_0032,2023-02-02,14.932513876310331,7.519378498084223,0.26231568850462134,9.902898554116174,1.791665571372662
SYNTHETIC_SITE_0033,2023-02-03,9.711445355220498,7.7177567517621934,4.390316871332613,7.266985959263897,2.8538612014894436
SYNTHETIC_SITE_0034,2023-02-04,19.112724560515943,6.813450830160501,1.3986683644064692,4.592256826346562,3.3151763268576064
SYNTHETIC_SITE_0035,2023-02-05,8.895781750144888,8.459189410632026,1.1933108238122037,6.1510680237408915,2.807048352031481
SYNTHETIC_SITE_0036,2023-02-06,16.044317975023777,6.219387469598127,1.7631255210799208,11.125777537016395,4.228278276966917
SYNTHETIC_SITE_0037,2023-02-07,5.201649380601122,6.028500095832144,1.960506106303654,7.452013836341392,9.685367399801324
SYNTHETIC_SITE_0038,2023-02-08,8.359069755507846,7.379561454847978,0.14896397451132995,7.513232041249964,0.8781057517048251
SYNTHETIC_SITE_0039,2023-02-09,15.984306179345618,8.037678642089723,2.29529345904876,7.400323607450239,3.7574893571654666
SYNTHETIC_SITE_0040,2023-02-10,18.692332899977053,8.547142153166295,0.5539635317830209,11.808273179146013,1.226929325827794
SYNTHETIC_SITE_0041,2023-02-11,15.856841405949853,6.832892589704848,2.503195722539067,11.251917830724127,0.7892853902407309
SYNTHETIC_SITE_0042,2023-02-12,14.421758588058797,8.062944666745036,3.457961427963438,12.437560466896269,6.437146891570285
